,,,,,,,,
S.No,Hall Name ,Stall Name,Company Name ,Parent Company Name ,Register Type ,Country ,Company  Logo,Address
85,Hall F,FR5.3,VAF Def Aero Systems Private Limited,TamilNadu Industrial Development Corporation Limited,Co-Exhibitor,India,Picture,"9, Sowripalayam Rd, opp. Sujini Mills, Karuppusamy Nagar, Udayampalayam, Coimbatore, Tamil Nadu 641028"
86,Hall G,GS3.1,The Bhor Chemicals and Plastics Pvt Ltd,--,Exhibitor,India,Picture,"Shivsagar Estate, Block A, 8th Floor, Dr Annie Besant Road, Worli, Mumbai, PIN - 400018, Maharashtra, India"
87,Hall C,CR5.3,SIKA INTERPLANT SYSTEMS LIMITED,--,Exhibitor,India,Picture,"No. 3, Dr. Sharma Building, Gangadhar Chetty Rd, near Ulsoor, Halasuru, Yellappa Chetty Layout, Lake, Banglore, Bengaluru, Karnataka 560042"
88,Hall A,AS2.5,AEROCISION AEROCOMP INDIA PVT LTD,--,Exhibitor,India,Picture,"Khata No.: 536/1&2, Sy No.: 192/1, Hobali, Anekal, Jigani, Bengaluru, Karnataka 560105"
89,Hall K,KS5.6,Sterling Book House,--,Exhibitor,India,Picture,"Sterling Book House 181, Dr. D. N. Road, Fort, Mumbai 400001, India"
90,Hall C,CR6.2,RAPHE MPHIBR PRIVATE LIMITED,--,Exhibitor,India,Picture," B 200, Block B, Phase-2, Noida, Uttar Pradesh 201305"
91,"Hall A, Hall A","AS4.9, AS4.10",Breton SpA,--,Exhibitor,Foreign,Picture," Via Giuseppe Garibaldi 27, 31030 Castello di Godego (TV), Italy"
92,Hall B,BR2.2a,JJG Aero Pvt ltd,--,Exhibitor,India,Picture,"No. 135, KIADB Industrial Aera Bommasandra Jigani Link Road Bande Nallasandra Village Anekal Taluk, Jigani, Bengaluru, Karnataka 560105"
93,"Hall B, Hall B","BR1.2, BR1.1",Data Patterns Ltd,--,Exhibitor,India,Picture," 7-102/611, Inner Ring Rd, Nagendra Nagar, Habsiguda, Hyderabad, Telangana 500007"
94,Hall G,GS4.4,EDS Technologies,--,Exhibitor,India,Picture,"Plot No.68, Shri Prashanthi Sai Towers, Teetos business Centre 4th Floor, 1, Nagarjuna Hills Rd, Banjara Hills, Hyderabad, Telangana 500082"
95,Hall J,JR2.1A,KALAPURNA STEEL AND ENGG PVT LTD,--,Exhibitor,India,Picture,"Lodha Supremus, KALAPURNA STEEL & ENGG. PVT. LTD. 901/9, Dr Elijah Moses Rd, Worli Naka, Worli, Mumbai, Maharashtra 400013"
96,Hall G,GS2.3,VJ Imaging Technologies Private Limited,--,Exhibitor,India,Picture,"Building No, 121G, Hosur Road, opp. Mahindra Old Unit, 1st Phase, Bommasandra Industrial Area, Bengaluru, Bommasandra, Karnataka 560099"
97,Hall A,AR6.1,VEM TECHNOLOGIES PVT LTD,--,Exhibitor,India,Picture,"8-48/1 Bachupally Industrial Area, Quthubullapur Mandal, Ranga Reddy District, Hyderabad, Telangana 500090"
98,"Hall E, CHALET","ER3.1A, CHALET.30",BEML LIMITED,--,Exhibitor,India,Picture," Flat No. E, F, G, H - 11 th Floor, Vandana Building, Tolstoy Marg,. New Delhi – 110 001"
99,"Hall C, Hall C, Outdoor","CR5.4, CR5.5, OD-4",Saab,--,Exhibitor,Foreign,Picture,"18th floor, Raheja Commerzone, Hetero Tower, Silpa Gram Craft Village, Rai Durg, Hyderabad, Telangana 500032"
100,Hall H,HS3.4,Aimil Ltd,--,Exhibitor,India,Picture,"2nd Floor, BHUVANA TOWERS, 201 & 202, Sarojini Devi Rd, Kalasiguda, Secunderabad, Telangana 500003"
101,"Hall B, Hall B","BS5.18, BS5.17",Laversab India Aviation Pvt Ltd,--,Exhibitor,India,Picture,"No. 177, 3rd Floor, Above KFC, R.T. Nagar Main Road, Bengaluru, Karnataka, 560032, India"
102,"Hall B, Hall B, Hall B","BS5.11, BS5.12, BS5.13",Acciaierie Valbruna SpA,--,Exhibitor,Foreign,Picture,"Via Alessandro Volta, 4, 39100 Bolzano, Italy. "
103,Hall G,GS3.3,BASHI AEROSPACE PRIVATE LIMITED,--,Exhibitor,India,Picture,"143 M I Cross, Rajaji Nagar Industrial Area, Rajajinag, Bangalore, Karnataka, India, 560010"
104,CHALET,CHALET.41,JSC NASC,--,Exhibitor,Foreign,Picture,"Proezd Yablochkova D. 5, Korpus 18, Ryazan, 390023, Russia and Ul. Bolshaya Tatarskaya D. 35, Str. 4, Floor 2, Pomeshch. IX/Kom. 5, Moscow, 115184, Russia"
105,Hall G,GR5.3a,EXPLEO SOLUTIONS LIMITED,--,Exhibitor,India,Picture,"6A, Sixth Floor, Prince Infocity II, No. 283/3 & 283/4, Rajiv Gandhi Salai (OMR), Kandanchavadi, Chennai, Tamil Nadu, India - 600096"
106,Hall F,FS3.1,Enlite Helicopters Private Limited,--,Exhibitor,India,Picture,"4/704, Rajaji puram, Part III, Kakkalur, Tamil Nadu 602001"
107,Hall A,AR8.5,Embassy of Israel - Defense Section,--,Exhibitor,Foreign,Picture," 3, Dr APJ Abdul Kalam Rd, Aurangzeb Road, New Delhi, Delhi 110011, India"
108,Hall G,GS3.5,Crescendoworldwide Pvt Ltd,--,Exhibitor,India,Picture,"1st Floor, EFC Prime, S. No. 104/3, near Mercedes Benz, near Balewadi, Baner, Pune, Maharashtra 411045"
109,Hall B,BS5.14,Sona Speed Private Limited,--,Exhibitor,India,Picture,"Survey No. 79-82, Bidadi Main Road, Hejjala Hejjala, 25th KM, Industrial Area, Bidadi, Ramanagara, Karnataka 562109"
110,Hall A,AR7.3a,Kalyani Rafael Advanced Systems Pvt Ltd,--,Exhibitor,India,Picture,"24C, Hardware Park, Kancha Imarat, Survey No: 1/1, Maheshwaram Mandal Shamshabad, Dist, Hyderabad, Telangana 501510"
111,Hall G,GS2.1,JSM Composites LLP,--,Exhibitor,India,Picture,"Raheja Tesla Industrial Area, Turbhe MIDC, Navi Mumbai, Maharashtra 400703"
112,Hall B,BS5.17C,ATWIC RESEARCH & DEVELOPMENT PRIVATE LIMITED,--,Exhibitor,India,Picture,"PALAPARAMBIL VEEDU, SY NO. 483/5 NEAR ELAMBATHKAAV TEMBLE, RAJAGIRI VALLEY P O, KAKKANAD, Ernakulam, KL 682039, India "
113,"CHALET, CHALET, CHALET, CHALET, CHALET, Hall E, Hall E, Hall E, Hall E, Outdoor, Outdoor","CHALET.21, CHALET.22, CHALET.23, CHALET.24, CHALET.25, ER2.1, ER2.2, ER2.3, ER2.4, OD-1, OD-2",HINDUSTAN AERONAUTICS LIMITED,--,Exhibitor,India,Picture," Avionics Division, HAL Twp, Balanagar, Hyderabad, Telangana 500042"
114,Hall G,GR5.6,MKU LIMITED,--,Exhibitor,India,Picture,"13 GANDHI GRAM G T ROAD, KANPUR, Uttar Pradesh, India, 208007"
115,"Hall B, Hall B","BS5.7, BS5.8",AMI Metals Inc,--,Exhibitor,Foreign,Picture,"1738 General George Patton Dr., Brentwood, TN 37027, United States"
116,CHALET,SCHALET.42B,Deep Engineering Industries,--,Exhibitor,India,Picture,"Industrial Area Phase II, Chandigarh, 160002"
117,Hall C,CS2.1,Next Defence Private Limited,--,Exhibitor,India,Picture," 2nd Floor, 675/A, 16th Main Rd, opposite BDA complex, Koramangala 3 Block, Koramangala, Bengaluru, Karnataka 560034"
118,Hall B,BS5.29,Q-Alpha Aerospace Private Limited,--,Exhibitor,India,Picture,"25103, Prestige Jindal City, Tumkur Main Road, Nagasandra (Bangalore), Bangalore, Bangalore North, Karnataka, India, 560073"
119,"Hall A, Hall A","AS2.4, AS2.3",Radiall India Pvt ltd,--,Exhibitor,India,Picture," karanataka,, 25, 2nd Main Rd, Peenya Industrial Area Phase IV, Peenya, Bengaluru, Karnataka 560058"
120,Hall B,BS5.9,National Engineering Industries Ltd,--,Exhibitor,India,Picture,"Plot No. 2–7/3, Alindra Estate, Manjusar GIDC Savli, Gujarat 391776"
121,"Hall J, Hall J","JS3.7, JS3.8",ADRYS TECHNOLOGIES,--,Exhibitor,India,Picture,"No. 320, 2nd G Cross Rd, West Of Chord Road, 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560079"
122,Hall K,KR4.8A,Anil Metals Private Limited,--,Exhibitor,India,Picture,"No 39/2, Shed, Jawaharlal Nehru, Survey, No 2, Jawaharlal Nehru Salai, Manjampakkam, Tamil Nadu 600060"
123,Hall F,FS1.11,Zeus Numerix Private Limited,--,Exhibitor,India,Picture," 305/306, 3rd Floor, Pushpak Business Hub, Karpe Nagar Bhumkar Chowk, Wakad, Pimpri-Chinchwad, Maharashtra 411057"
124,"Hall C, Hall C","CS3.6, CS3.7",DCX Systems Limited,--,Exhibitor,India,Picture," Plot#29,30&107 | Aerospace SEZ Park, KIADB Industrial Area, Devanahalli, Bengaluru, Karnataka 562110"
125,Hall B,BS5.23,ADDEV Materials Private Limited,--,Exhibitor,India,Picture,"SHED NO. 3, SURVEY NO. 38/1 KRISHNASAGARA VILLAGE, ANEKAL, TK, Attibele, Karnataka 562107"
126,"Hall A, Hall A","AR6.2b, AR6.2a",ASTRA MICROWAVE PRODUCTS LIMITED,--,Exhibitor,India,Picture,"Survey No. 12(P, Astra Towers, Post, Kondapur, Jubilee Enclave, Kothaguda, Hyderabad, Telangana 500084"
127,Hall K,KS2.6,TurboTech Precision Engineering Pvt Ltd,--,Exhibitor,India,Picture,"Survey No. 8/2, Honnasandra Village, Kasaba Hobli, Nelamangala Taluk,, Bengaluru Rural, Karnataka 562123"
128,Hall H,HR5.4,voestalpine High Performance Metals India Pvt Ltd,--,Exhibitor,India,Picture," G 99 / 1 - SIPCOT Industrial Park, Vallam - Vadagal Post -Oragadam, Tal - Sriperumbudur, Dist - Kanchipuram, Vallam, Tamil Nadu 602106"
129,Hall G,GR5.4,Aviatech Enterprises Private Limited,--,Exhibitor,India,Picture," 9WGG+GW8, Verna Industrial Estate, Verna, Quelossim, Goa 403722"
130,Hall C,CS3.11,Smart-Waves Technologies Private Limited,--,Exhibitor,India,Picture,"FHHC+MPG, Unnamed Road, Gandhi nagar, Kushaiguda Industrial Area, Kushaiguda, Secunderabad, Telangana 500062"
